No,Perangkat,Android,Chipset,RAM,Startup,Inference,Idle RAM,Peak RAM,Status
1,Redmi Note 10 Pro,Android 12 (API 31),Snapdragon 732G,6 GB,3.53 s,69.10 ms (Live) / 57.63 ms (Mock),202.93 MB,215.86 MB,Lancar
2,Redmi 9A,Android 10 (API 29),Helio G25,4 GB,12.15 s,73.33 ms (Live) / 73.97 ms (Mock),146.28 MB,146.28 MB,Lancar
