Perangkat,Total Capture,Prediksi Benar,Prediksi Salah,Akurasi Total (%),Rata-rata Inference (ms),Rata-rata Total Pemrosesan (ms)
Redmi Note 10 Pro,1200,1134,66,94.50%,37.56 ms,55.46 ms
Redmi 9A,1200,1132,68,94.33%,86.57 ms,153.08 ms
